Modelname	tag	Guideexist	QMRFexist	QMRFlink	Guid	Description	Description(long)	GuideUrl	Unit(original)	Unit(original) (#1)	Unit	UnitName	UnitFamily	Lambda	Classes	ClassesGUID	Endpoint location1	Endpoint location2	Endpoint location3	Endpoint	Endpoint comment	Test type	Duration(value)	Duration(unit)	Duration(Original)	Effect	Kingdom	Phylum	Class	Test organisms (species)	Sex	Route of administration	Organ	Strain	Metabolic activation	Type of method	Assay provider	Test guideline	Reference	Reference Link	R2(Train)	RMSE(Train)	Q2(Train)	Fisher(Train)	S(Train)	R2(Invisible training)	RMSE(Invisible training)	Q2(Invisible training)	Fisher(Invisible training)	S(Invisible training)	R2(Calibration)	RMSE(Calibration)	Q2(Calibration)	Fisher(Calibration)	S(calibration)	R2(Test)	RMSE(Test)	Fisher(Test)	S(Test)	Accuracy(Train)	Specificity(Train)	Sensitivity(Train)	Accuracy(Internal Valid)	Specificity(Internal Valid)	Sensitivity(Internal Valid)	Accuracy(Test)	Specificity(Test)	Sensitivity(Test)
Carcinogenicity inhalation classification model (IRFMN)	carc_sficlass		x	QMRF_SFI_CLASS.pdf	024548e1-408b-442e-a108-c472e6cd6d78	Classification model for carcinogenicity (inhalation route).	Classification model for carcinogenicity (inhalation route), based on the data used for the Slope Factor model, developed by IRFMN.	VEGA_model_guide_CARC-SFICLASS_1_0_0.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen	32ddd8cd-22f5-4c15-908a-e2bfb9877bbe	Human Health Hazards	Carcinogenicity		Carcinogenicity	qualitative prediction of carcinogenicity based on the definition of a Slope factor for the compounds as key parameter in the human risk assessment of contaminated site. SF is a measure of carcinogenic potency.	expert assessment based on carcinogenic effects in different species					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Homo sapiens		inhalation				expert judgement																								0.81	0.86	0.73				0.76	0.79	0.72
Carcinogenicity inhalation Slope Factor model (IRFMN)	carc_sfiregr		x	QMRF_SFI_REG.pdf	6e3c2944-b1a0-42a0-97b9-37201f5bef55	Quantitative model for the carcinogenicity inhalation route) Slope Factor.	Quantitative model for the carcinogenicity inhalation route) Slope Factor, developed by IRFMN.	VEGA_model_guide_CARC-SFIREGR_1_0_0.pdf	log(1/(mg/kg-day))	log(1/(mg/kg-day))	log(1/mg/kg/day)	mg/kg/d	Administered dose(amount of substance)			415b33e1-c3e3-4fb6-8518-f5ab87d51a8a	Human Health Hazards	Carcinogenicity		Carcinogenicity	quantitative prediction of carcinogenicity potency as Slope factor	expert assessment based on carcinogenic effects in different species					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Homo sapiens		inhalation				expert judgement					0.586															0.555												
Developmental Toxicity model (CAESAR)	devtox_caesar	x	x	QMRF_DEVTOX_CAESAR.pdf	701d5ee0-38d6-4130-ba59-a4517a19e6a2	QSAR classification model for Developmental Toxicity (from CAESAR project)	QSAR classification model for Developmental Toxicity based on a Random Forest classification. The model extends the original CAESAR DevTox model 1.0 developed by Istituto Mario Negri, Italy. Reference to the original model are found on the CAESAR Project website: http://www.caesar-project.eu/ .	VEGA_model_guide_DEVTOX_2_1_7.pdf	null	no unit	no unit	no unit	Developmental		NON-Toxicant;Toxicant;Not Classifiable	6fac8fe4-69a2-4f3f-83d8-b3099b6e5828	Human Health Hazards	Developmental Toxicity / Teratogenicity		Developmental Toxicity																																								1	1	1				0.84	0.59	0.95
Developmental/Reproductive Toxicity library (PG)	devtox_pg	x	x	QMRF_DEVTOX_PG.pdf	fae582d1-f751-4ed7-ac4b-2c5c47ded2fd	Virtual compound library for Developmental/Reproductive (developed by Procter And Gamble)	The model implements a virtual library of toxicant compounds as described in the study from Procter and Gamble: Shengde Wu, Joan Fisher, Jorge M. Naciff, Michael C, Laufersweiler, Cathy Lester, George Daston, and Karen Blackburn A Framework for Identifying Chemicals with Structural Features Associated with Potential to Act as Developmental or Reproductive Toxicants Chem. Res. Toxicol., 2013, 26 (12), pp 1840Ã¢â‚¬â€œ1861.	VEGA_model_guide_DEVTOX-PG_1_1_0.pdf	null	no unit	no unit	no unit	Developmental		NON-Toxicant;Toxicant;Not Classifiable;Reproductive and developmental toxicant;Reproductive toxicant (no data on developmental toxicity);Developmental toxicant (no data on reproductive toxicity);Developmental NON-toxicant (no data on reproductive toxicity);Developmental toxicant, reproductive NON-toxicant;No data on reproductive and developmental toxicity;Reproductive toxicant, developmental NON-toxicant;Reproductive and developmental NON-toxicant;Reproductive NON-toxicant (no data on developmental toxicity)	a22837b9-34e9-4a04-9558-2b2b4f41dde2	Human Health Hazards	Developmental Toxicity / Teratogenicity		Developmental Toxicity																																																
Zebrafish embryo AC50 (IRFMN/CORAL)	devtox_zebrafish		x	QMRF_ZEBRAFISH_EMBRYO.pdf	ce5a46ab-0eee-4876-b4a2-6ed41dc7650c	Quantitative model for Zebrafish embryo AC50 (half-maximal activity concentration).	Quantitative model for Zebrafish embryo AC50 (half-maximal activity concentration) developed by CORAL software at IRFMN.	VEGA_model_guide_ZEBRAFISH-CORAL_1_0_0.pdf	log(umol/l)	log(umol/l)	log(umol/L)	micromol/L	Molar concentration			96aaf9d2-9cc8-4dbd-b7b2-02468c9a7f95	Ecotoxicological Information	Aquatic toxicity		AC50																			S. Padilla, D. Corum, B. Padnos, D. L. Hunter, A. Beam, K. A. Houck, N. Sipes, N. Kleinstreuer, T. Knudsen, D. J. Dix, and D. M. Reif. Zebrafish developmental screening of the ToxCastTM Phase I chemical library. Reproductive Toxicology, 33(2):174{187, Apr. 2012.	https://doi.org/10.1016/j.reprotox.2011.10.018	0.7437	0.361	0.728	180	0.361	0.7436	0.395	0.726	186	0.395	0.6577	0.385	0.592	35	0.385	0.697	0.386	41	0.386									
Estrogen Receptor Relative Binding Affinity model (IRFMN)	rba_irfmn	x	x	QMRF_RBA_IRFMN.pdf	de28bf99-f49a-4b90-b034-1a6cd3873f36	Classification model for Estrogen Receptor Relative Binding Affinity (IRFMN)	Estrogen Receptor Relative Binding Affinity (RBA) classification model for endocrine disruptor screening based on the model published in A. Roncaglioni, N. Piclin, M. Pintore, E. Benfenati, Binary classification models for endocrine disrupter effects mediated through the estrogen receptor, SAR and QSAR in Environmental Research (2008), 19, 7-8.	VEGA_model_guide_RBA_1_0_0.pdf	null	no unit	no unit	no unit	Estrogen		Inactive;Active	2e667897-d704-442d-a777-259ca272b6d6	Human Health Hazards	Endocrine Disruption Activity		RBA																																								0.86	0.87	0.85				0.84	0.88	0.78
Estrogen Receptor-mediated effect (IRFMN/CERAPP)	rba_cerapp	x	x	QMRF_ESTROGEN_CERAPP.pdf	0b216743-ce65-4d34-9891-53772ea0f7de	Classification model for Estrogen Receptor-mediated effect (IRFMN/CERAPP).	Estrogen Receptor mediated effect classification model for endocrine disruptor screening, based on the the dataset from the CERAPP project (U.S. EPA).	VEGA_model_guide_RBA_CERAPP_1_0_0.pdf	null	no unit	no unit	no unit	Estrogen		Not predicted;NON-active;Possible NON-active;Active;Possible active	a60ad9b7-ea67-45b6-ae76-18087ed42dd0	Human Health Hazards	Endocrine Disruption Activity		ER																																								0.96	0.87	0.95				0.74	0.7	0.77
Androgen Receptor-mediated effect (IRFMN/COMPARA)	rba_compara		x	QMRF_ANDROGEN_COMPARA.pdf	025a6812-f733-4b62-97c5-088ce047ffc3	Classification model for Androgen Receptor-mediated effect (IRFMN/COMPARA)).	Androgen Receptor mediated effect classification model for endocrine disruptor screening, based on the the dataset from the COMPARA project (U.S. EPA).	VEGA_model_guide_RBA_COMPARA_1_0_0.pdf	null	no unit	no unit	no unit	Androgen		Not predicted;NON-active;Active	2c1b9d63-ee66-4ea3-9400-134e3ea9851d	Human Health Hazards	Endocrine Disruption Activity		AR																																								0.93	0.96	0.77				0.74	0.66	0.93
Thyroid Receptor Alpha effect (NRMEA)	tralpha_nrmea		x	QMRF_TRA_NRMEA.pdf	b434fa5e-85d8-437a-9728-766515da889b	Classification model for Thyroid Receptor Alpha effect ((NRMEA)).	Classification model for Thyroid Receptor Alpha effect, based on the model developed by NRMEA.	VEGA_model_guide_TRALPHA_NRMEA_1_0_0.pdf	null	no unit	no unit	no unit	Receptor Binding		Not predicted;Inactive;Agonist;Antagonist;A-Anta	5f01f6e4-ab67-4abb-8e35-9bc962a93350	Human Health Hazards	Endocrine Disruption Activity		TR																																								0.998	0.999	0.9				0.995	0.998	0.85
Thyroid Receptor Beta effect (NRMEA)	trbeta_nrmea		x	QMRF_TRB_NRMEA.pdf	77fc6c0e-ba65-4f63-8f4f-95995c1df71c	Classification model for Thyroid Receptor Beta effect ((NRMEA)).	Classification model for Thyroid Receptor Beta effect, based on the model developed by NRMEA.	VEGA_model_guide_TRBETA_NRMEA_1_0_0.pdf	null	no unit	no unit	no unit	Receptor Binding		Not predicted;Inactive;Agonist;Antagonist;A-Anta	69ceb060-ee9b-4760-9af5-0a9c8ca115bf	Human Health Hazards	Endocrine Disruption Activity		TR																																								0.995	0.998	0.83				0.99	0.997	0.71
Skin Sensitization model (CAESAR)	skin_caesar	x	x	QMRF_SKIN_CAESAR.pdf	1d9273da-1089-4a77-970e-20b340f74cdb	QSAR classification model for Skin sensitization (from CAESAR project)	QSAR classification model for Skin sensitization based on a Adaptive Fuzzy Partion. The model extends the original CAESAR Skin model 1.0. The original model was developed inside the CAESAR Project (http://www.caesar-project.eu/).	VEGA_model_guide_SKIN_2_1_6.pdf	null	no unit	no unit	no unit	Skin		NON-Sensitizer;Sensitizer;Not Classifiable	4dfaf56c-e145-4b60-b732-581cee0fbf43	Human Health Hazards	Sensitization		Skin sensitisation	binary classification	in vivo Local Lymph Node Assay (OECD 429)				proliferation of lymphocytes in the lymph nodes draining the site of test substance application	Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Mus musculus (mouse	Female	dermal	skin (ear)	CBA		in vivo		OECD 429	Chaudhry, Q., Piclin, N., Cotterill, J., Pintore, M., Price, N. R., Chretien, J. R. and Roncaglioni, A. (2010). Global QSAR models of skin sensitisers for regulatory purposes., Chem Cent J 4 Suppl 1, S5.	https://doi.org/10.1186/1752-153X-4-S1-S5																				0.92	0.79	0.96				0.93	0.75	0.97
Skin Sensitization model (IRFMN/JRC)	skin_irfmn	x	x	QMRF_SKIN_JRC.pdf	9d649480-563a-4172-9a3a-5418da2a0cda	QSAR classification model for Skin sensitization	QSAR classification model for Skin sensitization based on a CART tree. The model has been developed by IRFMN in a joint research project with JRC.	VEGA_model_guide_SKIN-IRFMN_1_0_0.pdf	null	no unit	no unit	no unit	Skin		NON-Sensitizer;Sensitizer;Not Classifiable	006f1fc4-a8c9-4e60-a8f7-faf73ee77e02	Human Health Hazards	Sensitization		Skin sensitisation	binary classification	in vivo Local Lymph Node Assay (OECD 429)				proliferation of lymphocytes in the lymph nodes draining the site of test substance application	Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Mus musculus (mouse	Female	dermal	skin (ear)	CBA		in vivo		OECD 429																						0.8	0.79	0.81				0.71	0.82	0.65
Hepatotoxicity model (IRFMN)	hepa_irfmn	x	x	QMRF_HEPA_IRFMN.pdf	e974c476-5034-4f46-87aa-8a3d8745a72e	QSAR classification model for Hepatotoxicity (IRFMN)	QSAR classification model for Hepatotoxicity based on a set of rules built with SarPy software and manually. Developed by Istituto Mario Negri, Italy; SarPy software developed by Politecnico di Milano, Italy. Model developed inside the VEGA platform.	VEGA_model_guide_HEPA-irfmn_1_0_0.pdf	null	no unit	no unit	no unit	Skin sensitization		NON-Toxic;Toxic;Unknown	e759da2b-c229-46e0-9ffd-87033077ed3b	Human Health Hazards	Hepatotoxicity		Hepatotoxicity																																								0.82	0.67	0.94				0.66	0.37	0.85
Adipose tissue:blood model (INERIS)	tissueblood_ineris		x	QMRF_ADIPOSE_BLOOD_IRMFN.pdf	c179536c-8365-4388-a1cc-9a4304b73a0c	Quantitative model for adipose tissue:blood partition coefficient on rat	Quantitative model for adipose tissue:blood partition coefficient on rat, developed by INERIS.	VEGA_model_guide_TISSUEBLOOD_1_0_0.pdf	Log units	Log units	Log units	Log units	Partition Coefficient			ee723dc1-90cf-4c13-ae7d-73a5efb38ec1	Human Health Hazards	ADME		Adipose tissue:blood																																																
Total body elimination half-life (QSARINS)	totalhl_qsarins		x	QMRF_TOTALHL_QSARINS.pdf	73306f93-888b-455e-93aa-dd2b56ab6fcb	Quantitative model total body elimination half-life in human	Quantitative model total body elimination half-life in human, developed in the QSARINS software.	VEGA_model_guide_TOTALHL_1_0_0.pdf	Log(h)	Log(h)	log(h)	h	Time			b50ce984-2c8d-4a01-bc69-a6fe618fdee1	Human Health Hazards	ADME		Total half-life																				10.1016/j.scp.2015.10.002	0.78	0.62															0.66											
In vitro Micronucleus activity (IRFMN/VERMEER)	mn_invitro		x	QMRF_MNVITRO_VERMEER.pdf	4edea007-731a-4f93-a06d-723874cda0b2	Classification model for In vitro Micronucleus activity (IRFMN/VERMEER).	Classification model for In vitro Micronucleus activity (IRFMN/VERMEER).	VEGA_model_guide_MNVITRO-VERMEER_1_0_0.pdf	null	no unit	no unit	no unit	Mutagenicity		Not predicted;Inactive;Active	ebb5d6d9-f954-4ad6-965d-d9f73cc70b4a	Human Health Hazards	Genetic Toxicity		Chromosome aberration	binary classification	In Vitro Mammalian Cell Micronucleus Test (OECD 487)				in vitro micronucleus induction	Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	various: Cricetulus griseus (Chinese hamster); Mus musculus (mouse); Homo sapiens	NA	in vitro	ovary; blood; lung; spleen; colon; liver; embryo		with S9	in vitro		OECD 487	Baderna, D., Gadaleta, D., Lostaglio, E., Selvestrel, G., Raitano, G., Lombardo, A., Benfenati, E., 2019. New in silico models to predict in vitro micronucleus induction as marker of genotoxicity. Journal of Hazardous Materials 121638.	https://doi.org/10.1016/j.jhazmat.2019.121638																				0.88	0.73	0.97				0.83	0.63	0.94
